dt,X,Y
0.01,0.0,0.0
0.01,0.015,1.455337500000009
0.01,0.03,2.8227
0.01,0.045,4.104112500000012
0.01,0.06,5.301600000000006
0.01,0.075,6.417187499999999
0.01,0.09,7.452899999999996
0.01,0.105,8.41076249999999
0.01,0.12,9.292800000000002
0.01,0.135,10.10103750000001
0.01,0.15,10.8375
0.01,0.16499999999999998,11.50421250000001
0.01,0.18,12.103200000000003
0.01,0.195,12.636487499999994
0.01,0.21,13.106100000000003
0.01,0.22499999999999998,13.514062500000001
0.01,0.24,13.862399999999997
0.01,0.255,14.153137500000001
0.01,0.27,14.388299999999997
0.01,0.285,14.569912500000004
0.01,0.3,14.700000000000003
0.01,0.315,14.780587499999998
0.01,0.32999999999999996,14.813700000000003
0.01,0.345,14.801362500000003
0.01,0.36,14.745599999999998
0.01,0.375,14.6484375
0.01,0.39,14.5119
0.01,0.40499999999999997,14.3380125
0.01,0.42,14.128800000000002
0.01,0.435,13.886287499999996
0.01,0.44999999999999996,13.612499999999999
0.01,0.46499999999999997,13.309462499999999
0.01,0.48,12.979200000000002
0.01,0.495,12.623737499999999
0.01,0.51,12.245099999999999
0.01,0.525,11.8453125
0.01,0.54,11.426399999999997
0.01,0.5549999999999999,10.990387500000002
0.01,0.57,10.5393
0.01,0.585,10.0751625
0.01,0.6,9.600000000000001
0.01,0.615,9.115837499999998
0.01,0.63,8.624699999999999
0.01,0.645,8.128612500000001
0.01,0.6599999999999999,7.6296000000000035
0.01,0.6749999999999999,7.129687500000001
0.01,0.69,6.630900000000002
0.01,0.705,6.1352625000000005
0.01,0.72,5.644800000000001
0.01,0.735,5.1615375000000006
0.01,0.75,4.6875
0.01,0.765,4.2247125
0.01,0.78,3.7751999999999994
0.01,0.7949999999999999,3.340987500000002
0.01,0.8099999999999999,2.9241000000000015
0.01,0.825,2.5265625000000016
0.01,0.84,2.1504000000000008
0.01,0.855,1.7976375000000002
0.01,0.87,1.4703000000000002
0.01,0.885,1.1704124999999999
0.01,0.8999999999999999,0.9000000000000015
0.01,0.9149999999999999,0.661087500000001
0.01,0.9299999999999999,0.4557000000000007
0.01,0.945,0.2858625000000005
0.01,0.96,0.15360000000000026
0.01,0.975,0.06093750000000011
0.01,0.99,0.009900000000000018
0.01,1.005,0.002512499999999893
0.01,1.02,0.04080000000000007
0.01,1.035,0.12678749999999941
0.01,1.05,0.2625000000000005
0.01,1.065,0.4499624999999992
0.01,1.08,0.6912000000000013
0.01,1.095,0.9882374999999993
0.01,1.1099999999999999,1.3430999999999966
0.01,1.125,1.7578125
0.01,1.14,2.2343999999999964
0.01,1.155,2.774887500000001
0.01,1.17,3.381299999999997
0.01,1.185,4.055662500000003
0.01,1.2,4.799999999999997
0.01,1.2149999999999999,5.616337499999992
0.01,1.23,6.506699999999999
0.01,1.2449999999999999,7.473112499999993
0.01,1.26,8.5176
0.01,1.275,9.642187499999993
0.01,1.29,10.848900000000002
0.01,1.305,12.139762499999996
0.01,1.3199999999999998,13.516799999999984
0.01,1.335,14.982037499999995
0.01,1.3499999999999999,16.537499999999987
0.01,1.365,18.1852125
0.01,1.38,19.927199999999985
0.01,1.395,21.765487500000003
0.01,1.41,23.70209999999999
0.01,1.425,25.739062500000003
0.01,1.44,27.878399999999992
0.01,1.4549999999999998,30.12213749999998
0.01,1.47,32.4723
0.01,1.4849999999999999,34.93091249999998
0.01,1.5,37.5
